trace_id,task_family,outcome,best_static_axis,best_alignment,best_abs_alignment,residual_energy
trace_00001,arithmetic,correct,axis_2,-0.0603669248521328,0.0603669248521328,0.9981762766838074
trace_00001,arithmetic,correct,axis_1,0.11583694815635681,0.11583694815635681,0.9932682514190674
trace_00002,symbolic_logic,incorrect,axis_1,-0.04712192714214325,0.04712192714214325,0.998889148235321
trace_00002,symbolic_logic,incorrect,axis_2,-0.061108700931072235,0.061108700931072235,0.9981310963630676
trace_00002,symbolic_logic,incorrect,axis_2,0.07299397885799408,0.07299397885799408,0.9973323941230774
trace_00002,symbolic_logic,incorrect,axis_5,0.07125474512577057,0.07125474512577057,0.9974581599235535
trace_00002,symbolic_logic,incorrect,axis_2,-0.10337454825639725,0.10337454825639725,0.9946424961090088
trace_00003,temporal_ordering,incorrect,axis_1,0.0872005820274353,0.0872005820274353,0.9961907863616943
trace_00003,temporal_ordering,incorrect,axis_2,0.05329074338078499,0.05329074338078499,0.9985790252685547
trace_00004,causal_micro_world,incorrect,axis_1,0.05528603121638298,0.05528603121638298,0.9984705448150635
trace_00004,causal_micro_world,incorrect,axis_5,-0.089583620429039,0.089583620429039,0.9959793090820312
trace_00004,causal_micro_world,incorrect,axis_5,0.09819298982620239,0.09819298982620239,0.9951673746109009
trace_00005,commonsense_multihop,correct,axis_5,-0.10359402000904083,0.10359402000904083,0.9946196675300598
trace_00005,commonsense_multihop,correct,axis_2,0.061239100992679596,0.061239100992679596,0.9981231093406677
trace_00005,commonsense_multihop,correct,axis_4,-0.05631541833281517,0.05631541833281517,0.9984130263328552
trace_00005,commonsense_multihop,correct,axis_5,0.0935409739613533,0.0935409739613533,0.9956154227256775
trace_00006,arithmetic,correct,axis_4,-0.056032855063676834,0.056032855063676834,0.9984289407730103
trace_00006,arithmetic,correct,axis_2,-0.017094910144805908,0.017094910144805908,0.9998538494110107
trace_00007,symbolic_logic,correct,axis_3,0.08782581239938736,0.08782581239938736,0.9961358308792114
trace_00007,symbolic_logic,correct,axis_2,-0.06397691369056702,0.06397691369056702,0.9979513883590698
trace_00007,symbolic_logic,correct,axis_1,-0.06156611070036888,0.06156611070036888,0.9981030225753784
trace_00008,temporal_ordering,correct,axis_4,-0.05984102934598923,0.05984102934598923,0.9982079267501831
trace_00008,temporal_ordering,correct,axis_2,-0.04340473189949989,0.04340473189949989,0.9990575909614563
trace_00008,temporal_ordering,correct,axis_3,0.08917448669672012,0.08917448669672012,0.9960160255432129
trace_00009,causal_micro_world,correct,axis_4,-0.08261645585298538,0.08261645585298538,0.9965813755989075
trace_00009,causal_micro_world,correct,axis_3,0.09476188570261002,0.09476188570261002,0.9954999685287476
trace_00009,causal_micro_world,correct,axis_3,-0.09796486794948578,0.09796486794948578,0.9951898455619812
trace_00010,commonsense_multihop,correct,axis_3,0.06332609802484512,0.06332609802484512,0.9979928731918335
trace_00010,commonsense_multihop,correct,axis_2,-0.04245173931121826,0.04245173931121826,0.999098539352417
trace_00010,commonsense_multihop,correct,axis_4,0.05848226696252823,0.05848226696252823,0.9982884526252747
