trace_id,prompt_id,task_family,model,difficulty,outcome,from_step_position,to_step_position,from_step_text,to_step_text,static_projection_norm,residual_norm,residual_cluster,residual_pc_1,residual_pc_2,residual_pc_3,residual_pc_4,residual_pc_5,residual_pc_6,residual_pc_7,residual_pc_8
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.08938289,0.9959973,0,0.34100822,0.01280507,-0.34069887,-0.03200396,0.15951031,0.09270673,-0.12379653,0.13515104
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining cans are usable.,0.3416245,0.9398365,4,-0.2122128,0.16263045,0.2630016,-0.036790174,-0.33221906,-0.10194669,0.12842348,0.06645538
trace_00002,logic_001,symbolic_logic,llama3.2:latest,easy,correct,0,1,We know that all glims are bloops (Glims are a subset of Bloops).,Some bloops are razs (Bloops is a superset of Razs).,0.10337999,0.99464196,3,0.072052084,-0.10313007,0.08315632,-0.0697095,-0.07614385,0.039723273,-0.056164816,0.062096205
trace_00002,logic_001,symbolic_logic,llama3.2:latest,easy,correct,1,2,Some bloops are razs (Bloops is a superset of Razs).,"From steps 1 and 2, we can conclude that some glims are razs because the intersection of ""all glims"" and ""some bloops"" will include at least some elements that belong to both categories.",0.113210596,0.993571,1,-0.115426786,0.059431203,-0.1554226,0.120147064,0.23652965,-0.11784742,0.12905154,-0.14084063
trace_00003,temporal_001,temporal_ordering,llama3.2:latest,easy,correct,0,1,Determine the order of arrival for each person.,Compare the orders to find a common point or sequence that can be used to determine who arrived first.,0.16994503,0.9854535,0,-0.07531683,-0.0072224005,-0.116482235,-0.021924814,-0.045221053,-0.11636074,-0.26220626,0.06478822
trace_00003,temporal_001,temporal_ordering,llama3.2:latest,easy,correct,1,2,Compare the orders to find a common point or sequence that can be used to determine who arrived first.,"Since Mina arrived before Joon, and Joon arrived after Sora, we can conclude that Sora arrived first.",0.30048093,0.9537878,3,0.06787876,0.005393377,0.06951422,-0.13682012,-0.0003616303,-0.012211218,0.29871154,-0.08749378
trace_00004,causal_001,causal_micro_world,llama3.2:latest,easy,incorrect,0,1,This month: Rainfall drops.,Next month: Plant growth falls due to decreased rainfall.,0.14043896,0.9900893,0,-0.080820054,-0.08133768,-0.005011883,-0.112252414,0.11973836,0.18263133,-0.31933585,0.06904174
trace_00004,causal_001,causal_micro_world,llama3.2:latest,easy,incorrect,1,2,Next month: Plant growth falls due to decreased rainfall.,The month after that: Rabbit population later falls due to reduced plant growth.,0.21093494,0.97750014,0,-0.03264198,-0.08107219,0.102183096,-0.19116475,-0.10150319,0.10538041,-0.031066323,0.086955935
trace_00005,commonsense_001,commonsense_multihop,llama3.2:latest,easy,incorrect,0,1,The metal tray was exposed to direct sunlight.,"The sun's rays heated the metal tray, causing it to warm up.",0.32641137,0.94522774,2,-0.29571944,-0.14014144,0.26473942,0.06321964,0.02630826,-0.059334014,-0.09281576,-0.0016979247
trace_00005,commonsense_001,commonsense_multihop,llama3.2:latest,easy,incorrect,1,2,"The sun's rays heated the metal tray, causing it to warm up.","As the metal warmed up, it expanded and contracted due to thermal expansion and contraction.",0.315123,0.9490509,3,0.18120322,0.033976782,0.17041327,0.036221843,-0.2059074,0.36176148,0.16579753,-0.063397184
trace_00005,commonsense_001,commonsense_multihop,llama3.2:latest,easy,incorrect,2,3,"As the metal warmed up, it expanded and contracted due to thermal expansion and contraction.",The ice cube on the tray began to melt as a result of the increased temperature.,0.19699924,0.9804036,2,-0.14706665,-0.0046484917,-0.12257969,-0.05557781,0.21923123,-0.13782763,-0.13861106,0.036526483
trace_00005,commonsense_001,commonsense_multihop,llama3.2:latest,easy,incorrect,3,4,The ice cube on the tray began to melt as a result of the increased temperature.,"As the ice melted, it turned into water, which then dripped onto the surrounding metal tray.",0.28591356,0.9582554,3,0.08674068,0.08292001,-0.38657653,0.19551726,-0.16631761,-0.11217452,0.12340781,0.024554849
trace_00005,commonsense_001,commonsense_multihop,llama3.2:latest,easy,incorrect,4,5,"As the ice melted, it turned into water, which then dripped onto the surrounding metal tray.","The water from the melting ice came into contact with the metal surface, causing it to become wet.",0.26286852,0.9648316,1,-0.10424946,-0.072734304,0.11985663,0.0038672974,0.061858367,0.13140698,0.24378975,0.018808665
trace_00006,arith_002,arithmetic,llama3.2:latest,easy,correct,0,1,Calculate total number of pencils sold: 23 (morning) + 18 (afternoon) = 41,Subtract returned pencils from total: 41 - 7 = 34,0.05986072,0.9982068,0,0.30639175,-0.052866876,-0.19340396,0.243744,-0.10739758,-0.09396905,-0.20514822,0.08771336
trace_00006,arith_002,arithmetic,llama3.2:latest,easy,correct,1,2,Subtract returned pencils from total: 41 - 7 = 34,Final answer: 34,0.14088799,0.9900256,0,-0.096304685,0.17392047,0.041304804,-0.13094178,-0.010540532,0.10365491,0.17828259,-0.21196558
trace_00007,logic_002,symbolic_logic,llama3.2:latest,easy,correct,0,1,"Given that if no kets are lums, then it implies that all kets are not lums.","Since all lums are nops, we can conclude that any entity that is a lum is also a nop.",0.19910014,0.9799791,2,-0.022202263,0.13811935,-0.25131544,-0.1911013,-0.14279413,-0.014807504,-0.13394414,0.0070175924
trace_00007,logic_002,symbolic_logic,llama3.2:latest,easy,correct,1,2,"Since all lums are nops, we can conclude that any entity that is a lum is also a nop.","From step 1, we know that all kets are not lums, so they cannot be nops (since all lums are nops).",0.24373116,0.96984273,1,0.0024575815,-0.10562118,0.12236788,0.21137567,0.29564294,0.044136982,0.051865358,-0.044870123
trace_00007,logic_002,symbolic_logic,llama3.2:latest,easy,correct,2,3,"From step 1, we know that all kets are not lums, so they cannot be nops (since all lums are nops).","Therefore, there must be no kets.",0.11154376,0.9937596,3,0.032761525,-0.001218121,0.13593169,-0.08372742,-0.22047837,0.115900464,0.07025835,-0.00998212
trace_00008,temporal_002,temporal_ordering,llama3.2:latest,easy,incorrect,0,1,Identify the relationships between events.,Determine that Event A is first in time (happened before Event B).,0.17841423,0.98395556,3,0.06896383,-0.082211345,-0.012242674,-0.13363379,0.09645347,-0.027225073,0.09838989,0.09245426
trace_00008,temporal_002,temporal_ordering,llama3.2:latest,easy,incorrect,1,2,Determine that Event A is first in time (happened before Event B).,"Determine that Event B is second in time (happened after Event A, but before Event C).",0.1139182,0.99349016,0,0.16852957,0.058097284,0.05322528,0.22578633,0.005996384,0.15215106,-0.015722245,0.019247591
trace_00008,temporal_002,temporal_ordering,llama3.2:latest,easy,incorrect,2,3,"Determine that Event B is second in time (happened after Event A, but before Event C).",Conclude that Event C is third in time (happened after Event B).,0.14984442,0.98870957,1,0.024059478,-0.020532163,0.13728838,-0.0015911115,0.09871837,-0.040421106,0.103030175,-0.21098325
