trace_id,task_family,outcome,best_static_axis,best_alignment,best_abs_alignment,residual_energy
trace_00001,arithmetic,correct,axis_3,0.0661005824804306,0.0661005824804306,0.9978129863739014
trace_00001,arithmetic,correct,axis_2,0.1965000182390213,0.1965000182390213,0.9805037975311279
trace_00002,arithmetic,correct,axis_3,0.0661005824804306,0.0661005824804306,0.9978129863739014
trace_00002,arithmetic,correct,axis_2,0.1965000182390213,0.1965000182390213,0.9805037975311279
trace_00003,arithmetic,correct,axis_3,0.0661005824804306,0.0661005824804306,0.9978129863739014
trace_00003,arithmetic,correct,axis_2,0.1965000182390213,0.1965000182390213,0.9805037975311279
trace_00004,arithmetic,correct,axis_4,0.05595387518405914,0.05595387518405914,0.9984333515167236
trace_00004,arithmetic,correct,axis_2,0.20093289017677307,0.20093289017677307,0.9796050190925598
trace_00005,arithmetic,correct,axis_3,0.0661005824804306,0.0661005824804306,0.9978129863739014
trace_00005,arithmetic,correct,axis_2,0.1965000182390213,0.1965000182390213,0.9805037975311279
trace_00006,arithmetic,correct,axis_4,0.055977508425712585,0.055977508425712585,0.9984320402145386
trace_00006,arithmetic,correct,axis_2,0.20093289017677307,0.20093289017677307,0.9796050190925598
trace_00007,arithmetic,correct,axis_3,0.0661005824804306,0.0661005824804306,0.9978129863739014
trace_00007,arithmetic,correct,axis_2,0.1965000182390213,0.1965000182390213,0.9805037975311279
trace_00008,arithmetic,correct,axis_4,0.05595387518405914,0.05595387518405914,0.9984333515167236
trace_00008,arithmetic,correct,axis_2,0.20093289017677307,0.20093289017677307,0.9796050190925598
trace_00009,arithmetic,correct,axis_4,0.0368034765124321,0.0368034765124321,0.9993225336074829
trace_00009,arithmetic,correct,axis_2,0.18716907501220703,0.18716907501220703,0.9823276996612549
trace_00010,arithmetic,correct,axis_4,-0.16579854488372803,0.16579854488372803,0.98615962266922
trace_00010,arithmetic,correct,axis_2,-0.0717850774526596,0.0717850774526596,0.9974201321601868
trace_00010,arithmetic,correct,axis_1,0.10287389159202576,0.10287389159202576,0.9946944117546082
trace_00011,arithmetic,correct,axis_2,0.04940645396709442,0.04940645396709442,0.998778760433197
trace_00011,arithmetic,correct,axis_1,0.014577941037714481,0.014577941037714481,0.9998937249183655
trace_00011,arithmetic,correct,axis_3,0.23805060982704163,0.23805060982704163,0.9712527394294739
trace_00011,arithmetic,correct,axis_3,-0.19780442118644714,0.19780442118644714,0.9802415370941162
trace_00012,arithmetic,correct,axis_3,0.04856715351343155,0.04856715351343155,0.998819887638092
trace_00012,arithmetic,correct,axis_3,0.1880679726600647,0.1880679726600647,0.982155978679657
trace_00013,arithmetic,correct,axis_4,0.042416974902153015,0.042416974902153015,0.9990999698638916
trace_00013,arithmetic,correct,axis_2,0.18716907501220703,0.18716907501220703,0.9823276996612549
trace_00014,arithmetic,correct,axis_2,0.0521533265709877,0.0521533265709877,0.9986390471458435
trace_00014,arithmetic,correct,axis_2,0.14894764125347137,0.14894764125347137,0.9888451099395752
trace_00015,arithmetic,correct,axis_4,-0.16222898662090302,0.16222898662090302,0.9867531061172485
trace_00015,arithmetic,correct,axis_3,0.11559372395277023,0.11559372395277023,0.9932965636253357
trace_00015,arithmetic,correct,axis_3,-0.1565316915512085,0.1565316915512085,0.9876729249954224
trace_00015,arithmetic,correct,axis_2,0.09429901093244553,0.09429901093244553,0.995543897151947
trace_00015,arithmetic,correct,axis_3,0.10330910980701447,0.10330910980701447,0.9946492910385132
trace_00015,arithmetic,correct,axis_3,-0.10962338745594025,0.10962338745594025,0.9939731955528259
trace_00015,arithmetic,correct,axis_2,-0.06212712824344635,0.06212712824344635,0.9980682730674744
trace_00016,arithmetic,correct,axis_1,-0.06274913251399994,0.06274913251399994,0.9980292916297913
trace_00016,arithmetic,correct,axis_1,0.1296306550502777,0.1296306550502777,0.9915623664855957
trace_00017,arithmetic,correct,axis_1,-0.06274913251399994,0.06274913251399994,0.9980292916297913
trace_00017,arithmetic,correct,axis_1,0.17417208850383759,0.17417208850383759,0.9847152233123779
trace_00018,arithmetic,correct,axis_1,-0.06274913251399994,0.06274913251399994,0.9980292916297913
trace_00018,arithmetic,correct,axis_3,0.1694471538066864,0.1694471538066864,0.9855392575263977
trace_00019,arithmetic,correct,axis_1,-0.06274913251399994,0.06274913251399994,0.9980292916297913
trace_00019,arithmetic,correct,axis_1,0.1266108900308609,0.1266108900308609,0.9919524788856506
trace_00020,arithmetic,correct,axis_3,0.09633032977581024,0.09633032977581024,0.9953494071960449
trace_00020,arithmetic,correct,axis_3,0.19571805000305176,0.19571805000305176,0.9806602001190186
trace_00021,arithmetic,correct,axis_3,0.23800498247146606,0.23800498247146606,0.9712639451026917
trace_00021,arithmetic,correct,axis_4,0.09299647808074951,0.09299647808074951,0.9956664443016052
trace_00021,arithmetic,correct,axis_3,-0.2125290334224701,0.2125290334224701,0.9771547317504883
trace_00021,arithmetic,correct,axis_3,-0.1221131682395935,0.1221131682395935,0.9925161600112915
trace_00021,arithmetic,correct,axis_3,0.26338356733322144,0.26338356733322144,0.964691162109375
trace_00021,arithmetic,correct,axis_3,-0.12078353762626648,0.12078353762626648,0.9926788806915283
trace_00022,arithmetic,correct,axis_2,0.0767853781580925,0.0767853781580925,0.9970476627349854
trace_00022,arithmetic,correct,axis_1,0.14845332503318787,0.14845332503318787,0.9889194369316101
trace_00023,arithmetic,correct,axis_1,-0.06274913251399994,0.06274913251399994,0.9980292916297913
trace_00023,arithmetic,correct,axis_1,0.16535034775733948,0.16535034775733948,0.9862349033355713
trace_00024,arithmetic,correct,axis_3,0.09633032977581024,0.09633032977581024,0.9953494071960449
