family_left,family_right,shared_dim,mean_principal_angle_deg,max_principal_angle_deg
causal_substitution,causal_substitution,6,2.0792016584891826e-05,5.84649715165142e-05
causal_substitution,definition_substitution,6,78.15438079833984,86.28315734863281
causal_substitution,entity_swap,6,74.36451721191406,87.1980209350586
causal_substitution,numeric_distortion,6,78.77242279052734,86.63832092285156
causal_substitution,role_inversion,6,72.09488677978516,88.35920715332031
definition_substitution,causal_substitution,6,78.15438079833984,86.28315734863281
definition_substitution,definition_substitution,6,2.651826071087271e-05,4.7152199840638787e-05
definition_substitution,entity_swap,6,72.2472152709961,83.91295623779297
definition_substitution,numeric_distortion,6,79.91653442382812,89.82615661621094
definition_substitution,role_inversion,6,77.17243194580078,89.73711395263672
entity_swap,causal_substitution,6,74.3645248413086,87.1980209350586
entity_swap,definition_substitution,6,72.2472152709961,83.91295623779297
entity_swap,entity_swap,6,2.5481787815806456e-05,6.0449252487160265e-05
entity_swap,numeric_distortion,6,73.98859405517578,89.88250732421875
entity_swap,role_inversion,6,79.26367950439453,88.81956481933594
numeric_distortion,causal_substitution,6,78.77242279052734,86.63832092285156
numeric_distortion,definition_substitution,6,79.91653442382812,89.82615661621094
numeric_distortion,entity_swap,6,73.98860168457031,89.88250732421875
numeric_distortion,numeric_distortion,6,2.1467181795742363e-05,6.18929261690937e-05
numeric_distortion,role_inversion,6,76.46127319335938,87.2433853149414
role_inversion,causal_substitution,6,72.09488677978516,88.35920715332031
role_inversion,definition_substitution,6,77.17243194580078,89.73711395263672
role_inversion,entity_swap,6,79.26367950439453,88.81956481933594
role_inversion,numeric_distortion,6,76.46127319335938,87.2433853149414
role_inversion,role_inversion,6,4.4223168515600264e-05,7.534102041972801e-05
