row_index,error_family,own_family_projection_energy,best_other_projection_energy,projection_margin,proj_causal_substitution,proj_definition_substitution,proj_entity_swap,proj_numeric_distortion,proj_role_inversion
0,causal_substitution,0.8169580101966858,0.3328709900379181,0.4840870201587677,0.8169580101966858,0.02618511952459812,0.28939974308013916,0.3015209138393402,0.3328709900379181
1,definition_substitution,0.2663356065750122,0.3211665451526642,-0.05483093857765198,0.3211665451526642,0.2663356065750122,0.05129249021410942,0.2059643566608429,0.27127954363822937
2,entity_swap,0.7100587487220764,0.3219003677368164,0.38815838098526,0.25534915924072266,0.016523633152246475,0.7100587487220764,0.2783513069152832,0.3219003677368164
3,numeric_distortion,0.8337703347206116,0.2919957935810089,0.5417745411396027,0.23239777982234955,0.01523622963577509,0.0710805356502533,0.8337703347206116,0.2919957935810089
4,role_inversion,0.7829057574272156,0.28546658158302307,0.4974391758441925,0.28546658158302307,0.028131449595093727,0.05555501952767372,0.2598499655723572,0.7829057574272156
5,causal_substitution,0.8224639892578125,0.334064245223999,0.4883997440338135,0.8224639892578125,0.024920981377363205,0.29470041394233704,0.31781673431396484,0.334064245223999
6,definition_substitution,0.5056588053703308,0.328628808259964,0.17702999711036682,0.328628808259964,0.5056588053703308,0.05377250909805298,0.20899048447608948,0.26765891909599304
7,entity_swap,0.4886651635169983,0.31312745809555054,0.17553770542144775,0.2638872265815735,0.017296364530920982,0.4886651635169983,0.2937256991863251,0.31312745809555054
8,numeric_distortion,0.47185325622558594,0.27479416131973267,0.19705909490585327,0.2483205944299698,0.015272253192961216,0.06852835416793823,0.47185325622558594,0.27479416131973267
9,role_inversion,0.7687857151031494,0.28678110241889954,0.4820046126842499,0.28678110241889954,0.028382858261466026,0.05319691076874733,0.26758715510368347,0.7687857151031494
10,causal_substitution,0.8950605392456055,0.35384616255760193,0.5412143766880035,0.8950605392456055,0.02288201078772545,0.24797582626342773,0.308426171541214,0.35384616255760193
11,definition_substitution,0.694082498550415,0.32382309436798096,0.3702594041824341,0.32382309436798096,0.694082498550415,0.06173771992325783,0.19957511126995087,0.2578800618648529
12,entity_swap,0.6966307163238525,0.3279532790184021,0.36867743730545044,0.24775923788547516,0.01898590289056301,0.6966307163238525,0.2793036997318268,0.3279532790184021
13,numeric_distortion,0.613145112991333,0.28379592299461365,0.32934918999671936,0.2432621717453003,0.012946486473083496,0.06302519142627716,0.613145112991333,0.28379592299461365
14,role_inversion,0.5917784571647644,0.272379606962204,0.3193988502025604,0.272379606962204,0.028514321893453598,0.0626947358250618,0.25142237544059753,0.5917784571647644
15,causal_substitution,0.8508123755455017,0.33300280570983887,0.5178095698356628,0.8508123755455017,0.02222476713359356,0.2895546555519104,0.31666484475135803,0.33300280570983887
16,definition_substitution,0.35784128308296204,0.3197755217552185,0.03806576132774353,0.3197755217552185,0.35784128308296204,0.060320448130369186,0.2089429795742035,0.27093514800071716
17,entity_swap,0.5306144952774048,0.32018938660621643,0.21042510867118835,0.2627204358577728,0.023107368499040604,0.5306144952774048,0.27282288670539856,0.32018938660621643
18,numeric_distortion,0.8322034478187561,0.2947869300842285,0.5374165177345276,0.23827329277992249,0.015734048560261726,0.06623759865760803,0.8322034478187561,0.2947869300842285
19,role_inversion,0.8319327235221863,0.27593371272087097,0.5559990108013153,0.25141942501068115,0.03470093011856079,0.07628767937421799,0.27593371272087097,0.8319327235221863
20,causal_substitution,0.6876680850982666,0.3314434289932251,0.3562246561050415,0.6876680850982666,0.024220891296863556,0.2583436071872711,0.3234332203865051,0.3314434289932251
21,definition_substitution,0.6041216850280762,0.3259914815425873,0.2781302034854889,0.3259914815425873,0.6041216850280762,0.05530240759253502,0.22061173617839813,0.2564089894294739
22,entity_swap,0.6590481996536255,0.3079930543899536,0.3510551452636719,0.264054536819458,0.019691918045282364,0.6590481996536255,0.27198129892349243,0.3079930543899536
23,numeric_distortion,0.783754289150238,0.2952136993408203,0.4885405898094177,0.23511730134487152,0.011181323789060116,0.06250493228435516,0.783754289150238,0.2952136993408203
24,role_inversion,0.7783096432685852,0.26730069518089294,0.5110089480876923,0.26730069518089294,0.028784343972802162,0.06956109404563904,0.2558423578739166,0.7783096432685852
25,causal_substitution,0.8810665011405945,0.33329588174819946,0.547770619392395,0.8810665011405945,0.02165825478732586,0.2877737879753113,0.30733785033226013,0.33329588174819946
