task_family,outcome,residual_cluster,count
arithmetic,correct,0,18
arithmetic,correct,1,12
arithmetic,correct,2,22
arithmetic,correct,3,16
arithmetic,correct,4,18
arithmetic,incorrect,2,1
arithmetic,incorrect,3,1
arithmetic,incorrect,4,2
causal_micro_world,correct,0,12
causal_micro_world,correct,1,11
causal_micro_world,correct,2,4
causal_micro_world,correct,3,7
causal_micro_world,correct,4,4
causal_micro_world,incorrect,0,3
causal_micro_world,incorrect,1,4
causal_micro_world,incorrect,2,2
causal_micro_world,incorrect,3,7
commonsense_multihop,correct,0,12
commonsense_multihop,correct,1,7
commonsense_multihop,correct,2,9
commonsense_multihop,correct,3,16
commonsense_multihop,correct,4,1
commonsense_multihop,incorrect,0,16
commonsense_multihop,incorrect,1,9
commonsense_multihop,incorrect,2,7
commonsense_multihop,incorrect,3,12
commonsense_multihop,incorrect,4,2
symbolic_logic,correct,0,9
symbolic_logic,correct,1,8
symbolic_logic,correct,2,6
symbolic_logic,correct,3,11
symbolic_logic,correct,4,2
symbolic_logic,incorrect,0,8
symbolic_logic,incorrect,1,6
symbolic_logic,incorrect,2,6
symbolic_logic,incorrect,3,7
temporal_ordering,correct,0,4
temporal_ordering,correct,1,2
temporal_ordering,correct,2,4
temporal_ordering,correct,3,2
temporal_ordering,correct,4,1
temporal_ordering,incorrect,0,11
temporal_ordering,incorrect,1,13
temporal_ordering,incorrect,2,9
temporal_ordering,incorrect,3,11
temporal_ordering,incorrect,4,1
