source_family,target_family,proj_space_distance,proj_space_cosine_similarity,atlas_pca_dx,atlas_pca_dy,atlas_pca_distance,atlas_umap_dx,atlas_umap_dy,atlas_umap_distance,delta_proj_causal_substitution,delta_proj_definition_substitution,delta_proj_entity_swap,delta_proj_numeric_distortion,delta_proj_role_inversion
causal_substitution,causal_substitution,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_substitution,definition_substitution,0.17578086256980896,0.7823472023010254,0.1981343775987625,-0.2803025543689728,0.34325901819503585,0.9118947982788086,1.5878034830093384,1.8310303175492577,-0.13374766455963255,0.11360966327774805,0.004922740184701985,0.007128724021216226,-0.005316597409546375
causal_substitution,entity_swap,0.20553649961948395,0.6812795996665955,1.3064265921711922,-1.0645897388458252,1.6852601439504398,3.2369089126586914,5.038342356681824,5.988528451296147,-0.14390367973440638,-0.008913176005201723,0.12753294587600977,-0.012498960581918558,-0.07096945272448162
causal_substitution,numeric_distortion,0.20278431475162506,0.7696549892425537,-0.5615108534693718,-1.5284318327903748,1.628311489258381,-1.7431334257125854,1.1229959726333618,2.0735559057781017,-0.1318943852403512,-0.010641792869622198,0.005569948341387007,0.15103546750421326,0.027737546587983775
causal_substitution,role_inversion,0.14102928340435028,0.858301043510437,-0.33865936845541,-0.6505451463162899,0.7334160860236841,-0.17367100715637207,1.3988748788833618,1.4096143250895434,-0.13044779005770885,-0.0063392229019276145,-0.03300230328459293,0.003009838579843438,0.04164415287474793
definition_substitution,causal_substitution,0.17578086256980896,0.7823472023010254,-0.1981343775987625,0.2803025543689728,0.34325901819503585,-0.9118947982788086,-1.5878034830093384,1.8310303175492577,0.13374766455963255,-0.11360966327774805,-0.004922740184701985,-0.007128724021216226,0.005316597409546375
definition_substitution,definition_substitution,0.0,1.0000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
definition_substitution,entity_swap,0.18666493892669678,0.7095442414283752,1.1082922145724297,-0.7842871844768524,1.3577253111791385,2.325014114379883,3.4505388736724854,4.160758242290779,-0.010156015174773825,-0.12252283928294977,0.12261020569130777,-0.019627684603134785,-0.06565285531493524
definition_substitution,numeric_distortion,0.19298706948757172,0.7882348895072937,-0.7596452310681343,-1.248129278421402,1.4611254472964628,-2.655028223991394,-0.46480751037597656,2.6954073703046837,0.0018532793192813785,-0.12425145614737024,0.0006472081566850224,0.14390674348299703,0.03305414399753015
definition_substitution,role_inversion,0.13438457250595093,0.8517068028450012,-0.5367937460541725,-0.3702425919473171,0.6520943970735671,-1.0855658054351807,-0.18892860412597656,1.1018834490939242,0.003299874501923719,-0.11994888617967567,-0.037925043469294914,-0.004118885441372788,0.046960750284294306
entity_swap,causal_substitution,0.20553649961948395,0.6812795996665955,-1.3064265921711922,1.0645897388458252,1.6852601439504398,-3.2369089126586914,-5.038342356681824,5.988528451296147,0.14390367973440638,0.008913176005201723,-0.12753294587600977,0.012498960581918558,0.07096945272448162
