task_family,outcome,residual_cluster,count
arithmetic,correct,0,27
arithmetic,correct,1,13
arithmetic,correct,2,15
arithmetic,correct,3,21
arithmetic,correct,4,17
arithmetic,incorrect,0,21
arithmetic,incorrect,1,6
arithmetic,incorrect,2,7
arithmetic,incorrect,3,13
arithmetic,incorrect,4,6
causal_micro_world,correct,0,16
causal_micro_world,correct,1,21
causal_micro_world,correct,2,14
causal_micro_world,correct,3,18
causal_micro_world,correct,4,4
causal_micro_world,incorrect,0,10
causal_micro_world,incorrect,1,26
causal_micro_world,incorrect,2,6
causal_micro_world,incorrect,3,6
causal_micro_world,incorrect,4,2
commonsense_multihop,correct,0,18
commonsense_multihop,correct,1,20
commonsense_multihop,correct,2,14
commonsense_multihop,correct,3,21
commonsense_multihop,correct,4,2
commonsense_multihop,incorrect,0,16
commonsense_multihop,incorrect,1,18
commonsense_multihop,incorrect,2,28
commonsense_multihop,incorrect,3,28
commonsense_multihop,incorrect,4,2
symbolic_logic,correct,0,5
symbolic_logic,correct,1,10
symbolic_logic,correct,2,11
symbolic_logic,correct,3,9
symbolic_logic,correct,4,11
symbolic_logic,incorrect,0,6
symbolic_logic,incorrect,1,7
symbolic_logic,incorrect,2,21
symbolic_logic,incorrect,3,12
symbolic_logic,incorrect,4,13
temporal_ordering,correct,0,4
temporal_ordering,correct,1,12
temporal_ordering,correct,2,7
temporal_ordering,correct,3,10
temporal_ordering,correct,4,4
temporal_ordering,incorrect,0,5
temporal_ordering,incorrect,1,19
temporal_ordering,incorrect,2,21
temporal_ordering,incorrect,3,24
temporal_ordering,incorrect,4,14
